id,name,symbol,categoria,price_usd,market_cap,cmc_rank,volume_24h,volume_pct,circulating_supply,total_supply,max_supply,social_score,rating,halving_flag,multichain_flag,cex_listed,contract_address,wallet_support,explorers
arkham,Arkham,arkm,AI,0.530144,215237935.0,,31235626.0,14.512137927731,405847458.0,1000000000.0,1000000000.0,,,0,0,,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,,"https://platform.arkhamintelligence.com/explorer/token/arkham, https://etherscan.io/token/0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050, https://ethplorer.io/address/0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050"
origintrail,OriginTrail,trac,AI,0.390704,195174907.0,,2027201.0,1.038658622237745,499546955.602,500000000.0,500000000.0,,,0,0,,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,,"https://etherscan.io/token/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f, https://platform.arkhamintelligence.com/explorer/token/origintrail, https://ethplorer.io/address/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f"
kaito,KAITO,kaito,AI,0.788118,190218634.0,,23591417.0,12.402263912798364,241388889.0,1000000000.0,1000000000.0,,,0,0,,0x98d0baa52b2d063e780de12f615f963fe8537553,,https://basescan.org/token/0x98d0baa52b2D063E780DE12F615f963Fe8537553
livepeer,Livepeer,lpt,AI,4.7,189541287.0,,12046227.0,6.355463335014709,40279073.55065384,40279073.55065384,40279073.55065384,,,0,1,,0x58b6a8a3302369daec383334672404ee733ab239,,"https://etherscan.io/token/0x58b6a8a3302369daec383334672404ee733ab239, https://platform.arkhamintelligence.com/explorer/token/livepeer, https://ethplorer.io/address/0x58b6a8a3302369daec383334672404ee733ab239"
vana,Vana,vana,AI,5.28,162770516.0,,15310989.0,9.406487966162128,30800000.0,120000000.0,120000000.0,,,0,0,,,,https://vanascan.io/
qubic-network,Qubic,qubic,AI,1.38e-06,161701798.0,,1405744.0,0.8693434565273047,116842775117584.0,142441207716652.0,200000000000000.0,,,0,0,,,,https://explorer.qubic.org/
subsquid,SQD,sqd,AI,0.212771,140654588.0,,3720972.0,2.645467917477388,660988804.5653081,1337000000.0,1337000000.0,,,0,1,,0x1337420ded5adb9980cfc35f8f2b054ea86f8ab1,,"https://arbiscan.io/token/0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1, https://basescan.org/token/0xd4554bea546efa83c1e6b389ecac40ea999b3e78"
alchemist-ai,Alchemist AI,alch,AI,0.164542,140087894.0,,26856863.0,19.171437469107786,850000000.0,999985868.802365,1000000000.0,,,0,0,,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,,https://solscan.io/token/HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump
freysa-ai,Freysa AI,fai,AI,0.01563855,127812947.0,,2078943.0,1.6265511818610987,8189700000.0,8189700000.0,8189700000.0,,,0,0,,0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935,,https://basescan.org/token/0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935
paal-ai,PAAL AI,paal,AI,0.132443,118694407.0,,6106536.0,5.144754630266614,895178125.2406325,1000000000.0,1000000000.0,,,0,1,,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,,"https://etherscan.io/token/0x14fee680690900ba0cccfc76ad70fd1b95d10e16, https://platform.arkhamintelligence.com/explorer/token/paal-ai, https://ethplorer.io/address/0x14fee680690900ba0cccfc76ad70fd1b95d10e16"
arcblock,Arcblock,abt,AI,1.22,120364906.0,,14207766.0,11.803910684730647,98580000.0,186000000.0,,,,0,0,,0xb98d4c97425d9908e66e53a6fdf673acca0be986,,"https://etherscan.io/token/0xb98d4c97425d9908e66e53a6fdf673acca0be986, https://platform.arkhamintelligence.com/explorer/token/arcblock, https://ethplorer.io/address/0xb98d4c97425d9908e66e53a6fdf673acca0be986"
zignaly,ZIGChain,zig,AI,0.080526,113406450.0,,1001641.0,0.883231068426884,1408940795.2396517,1953940795.2396517,1953940795.2396517,,,0,1,,0xb2617246d0c6c0087f18703d576831899ca94f01,,"https://etherscan.io/token/0xb2617246d0c6c0087f18703d576831899ca94f01, https://platform.arkhamintelligence.com/explorer/token/zignaly, https://ethplorer.io/address/0xb2617246d0c6c0087f18703d576831899ca94f01"
venice-token,Venice Token,vvv,AI,3.82,113117097.0,,8405047.0,7.430394894239551,29687306.82898379,70339488.0024664,,,,0,0,,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,,https://basescan.org/token/0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf
io,io.net,io,AI,0.718193,112501572.0,,22950410.0,20.400079387335136,156636838.82,799999930.1790109,800000000.0,,,0,0,,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,,"https://solscan.io/token/bzlbgtncsffoth2gydtwr7e4imwzpr5jqcuugewr646k, https://platform.arkhamintelligence.com/explorer/token/io"
zelcash,Flux,flux,AI,0.270472,103827997.0,,6013205.0,5.791506312117338,383877509.4991484,383937134.4991484,440000000.0,,,0,0,,,,https://explorer.runonflux.io/
delysium,Delysium,agi,AI,0.060681,100402853.0,,2771349.0,2.760229333323825,1655905528.390942,3000000000.0,3000000000.0,,,0,1,,0x7da2641000cbb407c329310c461b2cb9c70c3046,,"https://etherscan.io/token/0x7da2641000cbb407c329310c461b2cb9c70c3046, https://platform.arkhamintelligence.com/explorer/token/delysium, https://ethplorer.io/address/0x7da2641000cbb407c329310c461b2cb9c70c3046"
singularitynet,SingularityNET,agix,AI,0.312285,96544506.0,,36368.0,0.037669673300726195,309125360.7324075,463229358.6304635,2000000000.0,,,0,1,,0x5b7533812759b45c2b44c19e320ba2cd2681b542,,"https://etherscan.io/token/0x5b7533812759b45c2b44c19e320ba2cd2681b542, https://platform.arkhamintelligence.com/explorer/token/singularitynet, https://ethplorer.io/address/0x5b7533812759b45c2b44c19e320ba2cd2681b542"
chaingpt,ChainGPT,cgpt,AI,0.110329,90615957.0,,29571538.0,32.6339189906696,822464465.0,997883432.0,1000000000.0,,,0,1,,0x9840652dc04fb9db2c43853633f0f62be6f00f98,,"https://bscscan.com/token/0x9840652dc04fb9db2c43853633f0f62be6f00f98, https://platform.arkhamintelligence.com/explorer/token/chaingpt, https://etherscan.io/token/0x25931894a86d47441213199621f1f2994e1c39aa"
everipedia,IQ,iq,AI,0.00412924,89247411.0,,1830080.0,2.0505692876625856,21618292951.929,21618292951.929,60000000000.0,,,0,1,,0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,,"https://etherscan.io/token/0x579cea1889991f68acc35ff5c3dd0621ff29b0c9, https://platform.arkhamintelligence.com/explorer/token/everipedia, https://bscscan.com/token/0x0e37d70b51ffa2b98b4d34a5712c5291115464e3"
carv,CARV,carv,AI,0.341051,87969053.0,,5649742.0,6.422419938975585,258030512.18,1000000000.0,1000000000.0,,,0,1,,0xc08cd26474722ce93f4d0c34d16201461c10aa8c,,"https://platform.arkhamintelligence.com/explorer/token/carv, https://basescan.org/token/0xc08cd26474722ce93f4d0c34d16201461c10aa8c, https://arbiscan.io/token/0xc08cd26474722ce93f4d0c34d16201461c10aa8c"
morphware,Morphware,xmw,AI,0.112694,87669574.0,,261719.0,0.2985288830079179,780582622.2736651,1232922769.0,1232922769.0,,,0,0,,0x391cf4b21f557c935c7f670218ef42c21bd8d686,,"https://etherscan.io/token/0x391cf4b21f557c935c7f670218ef42c21bd8d686, https://platform.arkhamintelligence.com/explorer/token/morphware, https://ethplorer.io/address/0x391cf4b21f557c935c7f670218ef42c21bd8d686"
humans-ai,Humans.ai,heart,AI,0.01116822,87165677.0,,458283.0,0.5257608450629025,7800000000.0,7800000000.0,7800000000.0,,,0,1,,0x8fac8031e079f409135766c7d5de29cf22ef897c,,"https://etherscan.io/token/0x8fac8031e079f409135766c7d5de29cf22ef897c, https://platform.arkhamintelligence.com/explorer/token/humans-ai, https://ethplorer.io/address/0x8fac8031e079f409135766c7d5de29cf22ef897c"
pha,PHALA,pha,AI,0.104884,83145476.0,,19158810.0,23.042516468364436,792741205.2793912,1000000000.0,1000000000.0,,,0,1,,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,,"https://etherscan.io/token/0x6c5ba91642f10282b576d91922ae6448c9d52f4e, https://platform.arkhamintelligence.com/explorer/token/pha, https://ethplorer.io/address/0x6c5ba91642f10282b576d91922ae6448c9d52f4e"
iexec-rlc,iExec RLC,rlc,AI,1.12,81111699.0,,3485315.0,4.2969325546984285,72382548.06525737,86999784.9868455,86999784.9868455,,,0,1,,0x607f4c5bb672230e8672085532f7e901544a7375,,"https://etherscan.io/token/0x607f4c5bb672230e8672085532f7e901544a7375, https://platform.arkhamintelligence.com/explorer/token/iexec-rlc, https://ethplorer.io/address/0x607f4c5bb672230e8672085532f7e901544a7375"
marlin,Marlin,pond,AI,0.00923758,75631610.0,,2386979.0,3.15606001247362,8187130828.0,10000000000.0,10000000000.0,,,0,1,,0x57b946008913b82e4df85f501cbaed910e58d26c,,"https://etherscan.io/token/0x57b946008913b82e4df85f501cbaed910e58d26c, https://platform.arkhamintelligence.com/explorer/token/marlin, https://ethplorer.io/address/0x57b946008913b82e4df85f501cbaed910e58d26c"
secret,Secret,scrt,AI,0.245525,75369579.0,,16287891.0,21.61069653845353,306973415.667098,322821361.725916,,,,0,1,,secret1k0jntykt7e4g3y88ltc60czgjuqdy4c9e8fzek,,"https://www.mintscan.io/secret, https://atomscan.com/secret-network, https://ping.pub/secret"
cookie,Cookie DAO,cookie,AI,0.158338,71354842.0,,16491291.0,23.11166353644228,450663556.1648772,999934558.0,1000000000.0,,,0,1,,0xc0041ef357b183448b235a8ea73ce4e4ec8c265f,,"https://bscscan.com/token/0xc0041ef357b183448b235a8ea73ce4e4ec8c265f, https://platform.arkhamintelligence.com/explorer/token/cookie, https://etherscan.io/token/0xc0041ef357b183448b235a8ea73ce4e4ec8c265f"
chromaway,Chromia,chr,AI,0.083327,70233912.0,,5612782.0,7.991555418413829,842081914.378197,842081914.378197,978064789.0,,,0,1,,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2,,"https://etherscan.io/token/0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2, https://platform.arkhamintelligence.com/explorer/token/chromaway, https://ethplorer.io/address/0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2"
numeraire,Numeraire,nmr,AI,8.61,68940085.0,,3435554.0,4.983391012645256,8007701.310704102,10672246.28085868,11000000.0,,,0,1,,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,,"https://etherscan.io/token/0x1776e1f26f98b1a5df9cd347953a26dd3cb46671, https://platform.arkhamintelligence.com/explorer/token/numeraire, https://ethplorer.io/address/0x1776e1f26f98b1a5df9cd347953a26dd3cb46671"
nosana,Nosana,nos,AI,0.823458,68688207.0,,453178.0,0.6597609979832492,83400000.0,100000000.0,,,,0,0,,nosXBVoaCTtYdLvKY6Csb4AC8JCdQKKAaWYtx2ZMoo7,,"https://explorer.solana.com/address/nosxbvoacttydlvky6csb4ac8jcdqkkaawytx2zmoo7, https://platform.arkhamintelligence.com/explorer/token/nosana, https://solscan.io/token/nosxbvoacttydlvky6csb4ac8jcdqkkaawytx2zmoo7"
0x0-ai-ai-smart-contract,0x0.ai: AI Smart Contract,0x0,AI,0.075998,67758569.0,449.0,90275.0,0.13323038153299843,891250000.0,891250000.0,1000000000.0,,,0,0,1.0,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,,"https://etherscan.io/token/0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5, https://platform.arkhamintelligence.com/explorer/token/0x0-ai-ai-smart-contract, https://ethplorer.io/address/0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5"
wayfinder,Wayfinder,prompt,AI,0.293732,65684894.0,,79880394.0,121.61151390455163,223900304.0,1000000000.0,1000000000.0,,,0,1,,0x28d38df637db75533bd3f71426f3410a82041544,,"https://etherscan.io/token/0x28d38dF637dB75533bD3F71426F3410a82041544, https://ethplorer.io/address/0x28d38dF637dB75533bD3F71426F3410a82041544, https://basescan.org/token/0x30c7235866872213F68cb1F08c37Cb9eCCB93452"
saga-2,Saga,saga,AI,0.264179,64768333.0,,10711095.0,16.53754929897609,245469549.0,1064299889.0,,,,0,0,,usaga,,https://sagaevm.sagaexplorer.io/token/usaga
solidus-aitech,Solidus Ai Tech,aitech,AI,0.04096265,63434748.0,,13028020.0,20.537671246049563,1550422732.0,1990643906.0,2000000000.0,,,0,1,,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,,"https://bscscan.com/token/0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944, https://platform.arkhamintelligence.com/explorer/token/solidus-aitech, https://binplorer.com/address/0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944"
heyanon,Hey Anon,anon,AI,4.74,62785201.0,,11134425.0,17.734155219157458,13251619.054133,21000000.0,21000000.0,,,0,1,,0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c,,"https://sonicscan.org/token/0x79bbF4508B1391af3A0F4B30bb5FC4aa9ab0E07C, https://solscan.io/account/AGWZY6Zf71x8VUmmRXYdaxbxH571nKmi8nkXUJ787QBv, https://arbiscan.io/token/0x79bbF4508B1391af3A0F4B30bb5FC4aa9ab0E07C"
ocean-protocol,Ocean Protocol,ocean,AI,0.294288,60075645.0,,142447.0,0.23711272679635817,204155767.1644159,946539534.3702902,1410000000.0,,,0,1,,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,,"https://etherscan.io/token/0x967da4048cd07ab37855c090aaf366e4ce1b9f48, https://platform.arkhamintelligence.com/explorer/token/ocean-protocol, https://blockchair.com/ethereum/erc-20/token/0x967da4048cd07ab37855c090aaf366e4ce1b9f48"
griffain,GRIFFAIN,griffain,AI,0.060139,60130473.0,,16052203.0,26.69562070466334,999867757.209026,999867757.209026,999880903.89,,,0,0,,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,,https://solscan.io/token/KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP
oraichain-token,Oraichain,orai,AI,3.09,57027936.0,,793292.0,1.3910585857429594,18455734.0,18957412.0,19779272.0,,,0,1,,0x4c11249814f11b9346808179cf06e71ac328c1b5,,"https://etherscan.io/token/0x4c11249814f11b9346808179cf06e71ac328c1b5, https://platform.arkhamintelligence.com/explorer/token/oraichain-token, https://ethplorer.io/address/0x4c11249814f11b9346808179cf06e71ac328c1b5"
ai-rig-complex,AI Rig Complex,arc,AI,0.056474,56465420.0,,9316483.0,16.499448689126904,999994032.784111,999994032.784111,999998319.33,,,0,0,,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,,https://solscan.io/token/61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump
pinlink,PinLink,pin,AI,0.692911,55362401.0,,810079.0,1.4632295300920928,80000000.0,100000000.0,100000000.0,,,0,0,,0x2e44f3f609ff5aa4819b323fd74690f07c3607c4,,"https://etherscan.io/token/0x2e44f3f609ff5aa4819b323fd74690f07c3607c4, https://ethplorer.io/address/0x2e44f3f609ff5aA4819B323FD74690f07C3607c4"
cortex-2,Cortex,cx,AI,0.04520216,54659143.0,,58053.0,0.10620912955038464,1210000000.0,1646590000.0,1646590000.0,,,0,1,,0x000000000000012def132e61759048be5b5c6033,,"https://etherscan.io/address/0x000000000000012DeF132E61759048bE5b5C6033, https://optimistic.etherscan.io/address/0x000000000000012def132e61759048be5b5c6033, https://snowscan.xyz/address/0x000000000000012DeF132E61759048bE5b5C6033"
magic,Treasure,magic,AI,0.169658,53062722.0,,25253453.0,47.591702890778954,312794114.5572414,347685919.9711497,347714007.0,,,0,1,,0x539bde0d7dbd336b79148aa742883198bbf60342,,"https://arbiscan.io/token/0x539bde0d7dbd336b79148aa742883198bbf60342, https://etherscan.io/token/0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a, https://ethplorer.io/address/0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a"
ao-computer,ao Computer,ao,AI,13.1,50901145.0,,2796835.0,5.494640641187934,3885330.555706,3885330.555706,21000000.0,,,0,0,,,,
tars-protocol,TARS AI,tai,AI,0.086032,50446048.0,,27061554.0,53.64454714073935,586681333.5321538,894996126.4121538,1000000000.0,,,0,0,,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,,"https://solscan.io/token/hax9ltgsqkze1yfychnbltfh8gybqktkfwkkg2sp6gdd, https://platform.arkhamintelligence.com/explorer/token/tars-protocol"
netmind-token,NetMind Token,nmt,AI,1.042,49419935.0,,2200071.0,4.451788534323244,47415734.21461043,144080375.2,144080375.2,,,0,1,,0x03aa6298f1370642642415edc0db8b957783e8d6,,"https://etherscan.io/token/0x03aa6298f1370642642415edc0db8b957783e8d6, https://platform.arkhamintelligence.com/explorer/token/netmind-token, https://ethplorer.io/address/0x03aa6298f1370642642415edc0db8b957783e8d6"
alethea-artificial-liquid-intelligence-token,Artificial Liquid Intelligence,ali,AI,0.00600598,49208729.0,,1126797.0,2.28983154594381,8189833601.855413,9870903732.0,9870903732.0,,,0,1,,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181,,"https://etherscan.io/token/0x6b0b3a982b4634ac68dd83a4dbf02311ce324181, https://platform.arkhamintelligence.com/explorer/token/alethea-artificial-liquid-intelligence-token, https://ethplorer.io/address/0x6b0b3a982b4634ac68dd83a4dbf02311ce324181"
unit-00-rei,Rei,rei,AI,0.04807434,48074344.0,,378231.0,0.7867626857269232,1000000000.0,1000000000.0,1000000000.0,,,0,0,,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,,https://basescan.org/token/0x6B2504A03ca4D43d0D73776F6aD46dAb2F2a4cFD
spectral,Spectral,spec,AI,2.27,46912540.0,,7249938.0,15.454157886143022,20614271.9,100000000.0,100000000.0,,,0,1,,0xadf7c35560035944e805d98ff17d58cde2449389,,"https://etherscan.io/token/0xadf7c35560035944e805d98ff17d58cde2449389, https://platform.arkhamintelligence.com/explorer/token/spectral, https://ethplorer.io/address/0xadf7c35560035944e805d98ff17d58cde2449389"
cudos,Cudos,cudos,AI,0.00626452,46224815.0,,47.46,0.0001026721253508532,7375147428.0,9317568774.0,10000000000.0,,,0,1,,0x817bbdbc3e8a1204f3691d14bb44992841e3db35,,"https://etherscan.io/token/0x817bbdbc3e8a1204f3691d14bb44992841e3db35, https://platform.arkhamintelligence.com/explorer/token/cudos, https://ethplorer.io/address/0x817bbdbc3e8a1204f3691d14bb44992841e3db35"
tokenfi,TokenFi,token,AI,0.01834841,44696217.0,,4143047.0,9.269345994091625,2436255891.601315,10000000000.0,10000000000.0,,,0,1,,0x4507cef57c46789ef8d1a19ea45f4216bae2b528,,"https://etherscan.io/token/0x4507cef57c46789ef8d1a19ea45f4216bae2b528, https://platform.arkhamintelligence.com/explorer/token/tokenfi, https://bscscan.com/token/0x4507cef57c46789ef8d1a19ea45f4216bae2b528"
autonolas,Autonolas,olas,AI,0.254579,44693058.0,,255530.0,0.5717442740212585,175883247.13577092,467229834.13441175,,,,0,1,,0x0001a500a6b18995b03f44bb040a5ffc28e45cb0,,"https://etherscan.io/token/0x0001a500a6b18995b03f44bb040a5ffc28e45cb0, https://platform.arkhamintelligence.com/explorer/token/autonolas, https://ethplorer.io/address/0x0001a500a6b18995b03f44bb040a5ffc28e45cb0"
myshell,MyShell,shell,AI,0.162794,43957446.0,,15672883.0,35.6546715657684,270000000.0,1000000000.0,1000000000.0,,,0,1,,0xf2c88757f8d03634671208935974b60a2a28bdb3,,"https://etherscan.io/token/0xf2c88757f8d03634671208935974B60a2a28Bdb3, https://ethplorer.io/address/0xf2c88757f8d03634671208935974B60a2a28Bdb3, https://bscscan.com/token/0xf2c88757f8d03634671208935974B60a2a28Bdb3"
rss3,RSS3,rss3,AI,0.057959,41713754.0,,1805086.0,4.32731611736503,719666665.937585,1000000000.0,,,,0,1,,0x4200000000000000000000000000000000000042,,"https://scan.rss3.io/address/0x4200000000000000000000000000000000000042, https://platform.arkhamintelligence.com/explorer/token/rss3, https://etherscan.io/token/0xc98d64da73a6616c42117b582e832812e7b8d57f"
forta,Forta,fort,AI,0.071658,40679131.0,,444344.0,1.0923143859685696,567642393.8339273,1000000000.0,1000000000.0,,,0,1,,0x41545f8b9472d758bb669ed8eaeeecd7a9c4ec29,,"https://explorer.forta.network/, https://platform.arkhamintelligence.com/explorer/token/forta, https://etherscan.io/token/0x41545f8b9472d758bb669ed8eaeeecd7a9c4ec29"
auki-labs,AUKI,auki,AI,0.0222291,40431390.0,,240139.0,0.5939419841860495,1832677663.1482012,9998020576.04421,10000000000.0,,,0,0,,0xf9569cfb8fd265e91aa478d86ae8c78b8af55df4,,"https://basescan.org/token/0xf9569cfb8fd265e91aa478d86ae8c78b8af55df4, https://platform.arkhamintelligence.com/explorer/token/auki-labs"
assemble-protocol,Assemble AI,asm,AI,0.02306054,34590812.0,,336412.0,0.9725472764270465,1500000000.0,1500000000.0,1500000000.0,,,0,0,,0x2565ae0385659badcada1031db704442e1b69982,,"https://etherscan.io/token/0x2565ae0385659badcada1031db704442e1b69982, https://platform.arkhamintelligence.com/explorer/token/assemble-protocol, https://ethplorer.io/address/0x2565ae0385659badcada1031db704442e1b69982"
limewire-token,LimeWire,lmwr,AI,0.102077,33489925.0,,1160881.0,3.4663589124191825,327743146.61402553,633045269.0,1000000000.0,,,0,1,,0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88,,"https://etherscan.io/token/0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88, https://platform.arkhamintelligence.com/explorer/token/limewire-token, https://ethplorer.io/address/0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88"
xterio,Xterio,xter,AI,0.293331,33002090.0,,9238432.0,27.993475564729387,112500000.0,1000000000.0,1000000000.0,,,0,0,,0x103071da56e7cd95b415320760d6a0ddc4da1ca5,,"https://bscscan.com/token/0x103071Da56e7cD95b415320760D6a0dDC4DA1ca5, https://binplorer.com/address/0x103071Da56e7cD95b415320760D6a0dDC4DA1ca5"
nodeai,NodeAI,gpu,AI,0.334312,32477754.0,,629370.0,1.9378495200129913,97153156.22085401,99573313.94239649,100000000.0,,,0,0,,0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,,"https://etherscan.io/token/0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870, https://platform.arkhamintelligence.com/explorer/token/nodeai, https://ethplorer.io/address/0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870"
neuralai,NEURALAI,neural,AI,3.19,31942316.0,,193895.0,0.6070160973925623,10000000.0,10000000.0,10000000.0,,,0,0,,0x32b053f2cba79f80ada5078cb6b305da92bde6e1,,"https://etherscan.io/address/0x32b053f2cba79f80ada5078cb6b305da92bde6e1, https://platform.arkhamintelligence.com/explorer/token/neuralai, https://etherscan.io/token/0x32b053f2cba79f80ada5078cb6b305da92bde6e1"
